,Location,subdomain,technology,Main_Domain_Server_Response
0,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign CloudSSL CA - SHA256 - G3",status.shopify.com,"['HTTP/3', 'HSTS', 'React', 'Cloudflare Network Error Logging', 'Cloudflare']",
1,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",b.ssl.shopify.com,['Cloudflare'],
3,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",ssl.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",cdn.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'HSTS']",
16,"C=US, O=Equifax, OU=Equifax Secure Certificate Authority",checkout.shopify.com,"['HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cart Functionality', 'Cloudflare']",
21,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",login.community-stage.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Stimulus', 'Cloudflare Network Error Logging', 'Cloudflare']",
23,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",datastories-staging.shopify.com,"['Java', 'Nginx', 'HSTS']",
25,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",adaywithshopify.shopify.com,['HSTS'],
25,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",adws.shopify.com,['HSTS'],
25,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",pursuit.shopify.com,['HSTS'],
25,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sessions.shopify.com,"['Varnish', 'Datadome', 'Nginx', 'HSTS']",
25,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",shopclass.shopify.com,"['Varnish', 'Datadome', 'Nginx', 'HSTS']",
25,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",unite.shopify.com,"['HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
27,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",developer.shopify.com,"['HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
29,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",datastories.shopify.com,['HSTS'],
31,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",tableau.data.shopify.com,"['Java', 'Nginx', 'HSTS']",
33,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",plusinfo.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'HSTS']",
35,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",newsroom.shopify.com,"['HTTP/3', 'Google Tag Manager', 'HSTS', 'Varnish', 'Sentry', 'Cloudflare']",
37,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",hardware.shopify.com,"['HTTP/3', 'Cloudflare']",
39,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",wholesale.shopify.com,"['Alpine.js', 'Google Tag Manager', 'HSTS', 'Netlify']",
41,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",tableau-staging.data.shopify.com,"['Java', 'Nginx', 'HSTS']",
43,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming8.shopify.com,"['HSTS', 'Basic']",
45,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming7.shopify.com,"['HSTS', 'Basic']",
47,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming9.shopify.com,"['Java', 'Nginx', 'HSTS']",
49,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming2.shopify.com,"['Java', 'Nginx', 'HSTS']",
50,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming3.shopify.com,"['HSTS', 'Basic']",
53,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming6.shopify.com,"['Java', 'Nginx', 'HSTS']",
55,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming4.shopify.com,"['Java', 'Nginx', 'HSTS']",
57,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming10.shopify.com,"['Java', 'Nginx', 'HSTS']",
58,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming.shopify.com,"['Java', 'Nginx', 'HSTS']",
61,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",exchange-help.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Amazon S3', 'Cloudflare Network Error Logging', 'Cloudflare']",
61,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",exchange.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Amazon S3', 'Cloudflare Network Error Logging', 'Cloudflare']",
61,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",exchange.shopify.com.au,"['Shopify', 'HTTP/3', 'HSTS', 'Amazon S3', 'Cloudflare Network Error Logging', 'Cloudflare']",
61,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",exchange.shopify.com.mx,"['Shopify', 'HTTP/3', 'HSTS', 'Amazon S3', 'Cloudflare Network Error Logging', 'Cloudflare']",
61,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",exchange.shopify.com.sg,"['Shopify', 'HTTP/3', 'HSTS', 'Amazon S3', 'Cloudflare Network Error Logging', 'Cloudflare']",
61,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.exchange.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Amazon S3', 'Cloudflare Network Error Logging', 'Cloudflare']",
63,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming5.shopify.com,"['Java', 'Nginx', 'HSTS']",
65,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",slapshot.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
67,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",api.shopify.com,"['HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
67,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",developers.shopify.com,"['HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
67,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",dev.shopify.com,"['HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
67,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",devs.shopify.com,"['HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
69,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",v.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
73,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",v-ca.shopify.com,Not Reachable,
75,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",news.shopify.com,"['HTTP/3', 'Google Tag Manager', 'HSTS', 'Varnish', 'Sentry', 'Cloudflare']",
77,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",redirectify.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
79,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",ipad-pos.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
81,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",facebook.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
83,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",amazon.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
85,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",polaris-rails.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
87,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",launchpad.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
89,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",tashboard.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
91,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",auth.data.shopify.com,Not Reachable,
93,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",investor.shopify.com,"['Microsoft ASP.NET', 'Cloudflare', 'HSTS']",
95,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",expert.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
97,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",bcs.shopify.com,"['Shopify', 'HTTP/3', 'Font Awesome', 'YouTube', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
99,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",incoming.shopify.com,['HSTS'],
101,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",unionstation.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
103,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",market.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
105,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",talent.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
107,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",win.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'YouTube', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare', 'Gravatar']",
109,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",fund.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
110,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",partner.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
113,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",vision.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
115,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",contest.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'YouTube', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare', 'Gravatar']",
117,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",ww.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
119,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",meetup.shopify.com,"['Varnish', 'Datadome', 'Nginx', 'HSTS']",
121,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",press.shopify.com,"['HTTP/3', 'Google Tag Manager', 'HSTS', 'Varnish', 'Sentry', 'Cloudflare']",
123,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",commerceawards.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'YouTube', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
124,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",blog.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
127,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",amazon-ads.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
129,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",babb-academy.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
131,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",ir.shopify.com,"['Microsoft ASP.NET', 'Cloudflare', 'HSTS']",
133,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",marketplace.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
134,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",hi.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
137,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",m.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
139,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",brochure.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
140,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",timber.shopify.com,"['GitHub Pages', 'HSTS', 'Amazon S3']",
143,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",rndsummit.shopify.com,"['Java', 'Nginx', 'HSTS']",
145,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",plus.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'HSTS']",
147,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",next.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
149,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",in.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
151,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",careers.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
153,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",merch.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
155,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",gauntlet.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
157,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",merchandise.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
159,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",hatchful.shopify.com,"['HTTP/3', 'HSTS', 'React', 'Cloudflare Network Error Logging', 'Cloudflare']",
161,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",cdn2.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'HSTS']",
169,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",experiments.shopify.com,"['Java', 'Nginx', 'HSTS']",
171,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",interviewing.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
173,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",events.shopify.com,"['Varnish', 'Datadome', 'Nginx', 'HSTS']",
175,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",data.shopify.com,"['Java', 'Nginx', 'HSTS']",
177,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",cardreader.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
179,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",fr.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
180,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
183,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",pt.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
185,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",API Count Limited
187,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",ru.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
189,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",it.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
191,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",es.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
193,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",projectruru.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
195,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",engineering.shopify.com,"['Shopify', 'HSTS']",
197,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",acceleration.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
199,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",analytics.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'HSTS']",
203,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",launch.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
205,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",overseer.data.shopify.com,Not Reachable,
207,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming14.shopify.com,"['HSTS', 'Basic']",
209,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming17.shopify.com,"['Java', 'Nginx', 'HSTS']",
211,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming16.shopify.com,"['Java', 'Nginx', 'HSTS']",
212,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming20.shopify.com,"['Java', 'Nginx', 'HSTS']",
215,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming11.shopify.com,"['Java', 'Nginx', 'HSTS']",
216,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming15.shopify.com,"['Java', 'Nginx', 'HSTS']",
219,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",upcoming18.shopify.com,"['Java', 'Nginx', 'HSTS']",
